RV Type,Manufacturer,Model Name,Trim,Leveling System,Year,Product,Pack,URL,Product Handle,SKU,Notes,Status,Status
Fifth Wheel,Coachmen,Chaparral,391QSMB,LCI/Lippert,2018,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,392MBL,LCI/Lippert,2019,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,392MBL,LCI/Lippert,2020,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,392MBL,LCI/Lippert,2019,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,Sale,
Fifth Wheel,Coachmen,Chaparral Lite,29RLS,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Fifth Wheel,Coachmen,Chaparral Lite,30RLS,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,New,
Class C,Coachmen,Concord,300DS,Bigfoot,2016,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,Sale,
Class C,Coachmen,Concord,300DS,Bigfoot,2019,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,Sale,
Class A,Coachmen,Cross Country,38TS,HWH,2006,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,Sale,
Class A,Coachmen,Cross Country,407FW,LCI/Lippert,2016,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Cross Country Elite,354MBS,HWH,2003,HiWay 8,4 Pack,https://rvsnappad.com/collections/hiway/products/hiway-8-4-pack,hiway-8-4-pack,HI8SP4,,,
Class A,Coachmen,Encounter,37LS,LCI/Lippert,2016,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class C,Coachmen,Freelander,28EQ,Bigfoot,2015,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,,
Class C,Coachmen,Leprechaun,319MB,Bigfoot,2017,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,Sale,
